list,item_no,sub_no,function,element1,element2,element3,element4,element5,element6,element7,element8,element9,element10,element11,element12
1,1,1,NAD,FA,PU,MO,FI,WE,SU,BO,HO,MI,NO,BA,GU
1,2,2,NAD,MI,SU,GU,FI,WE,BO,PU,HO,ME,BA,NO,FA
1,3,3,NAD,BA,ME,BO,GU,WE,MO,FA,HO,FI,PU,SU,NA
1,4,4,NAD,FA,NA,SU,NO,WE,ME,PU,HO,FI,BO,GU,MI
1,5,5,NAD,FA,SU,MO,ME,WE,NA,NO,HO,PU,GU,MI,BO
1,6,6,NAD,NO,SU,BA,BO,WE,NA,MI,HO,GU,PU,ME,MO
1,7,7,NAD,FA,NA,ME,MI,WE,PU,NO,HO,FI,BA,BO,MO
1,8,8,NAD,GU,PU,NA,SU,WE,BA,BO,HO,ME,MI,FI,MO
1,9,9,NAD,GU,NO,MI,FA,WE,NA,BA,HO,MO,ME,PU,FI
1,10,10,NAD,GU,MO,NA,FA,WE,SU,BA,HO,ME,NO,MI,FI
1,11,11,NAD,NA,BA,MO,FA,WE,FI,NO,HO,GU,BO,PU,SU
1,12,12,NAD,MI,ME,BO,NO,WE,FA,MO,HO,FI,NA,BA,SU
1,13,1,violation,SU,GU,NA,ME,WE,FI,MO,PU,NO,FA,BO,MI
1,14,2,violation,MO,GU,SU,NO,WE,NA,MI,ME,BA,FI,PU,BO
1,15,3,violation,MI,BA,NA,PU,WE,GU,MO,FA,NO,ME,BO,FI
1,16,4,violation,NO,SU,GU,MI,WE,MO,FI,BA,BO,NA,FA,PU
1,17,5,violation,GU,NA,BO,ME,WE,SU,BA,MI,MO,NO,FI,FA
1,18,6,violation,ME,FA,FI,BA,WE,SU,NO,PU,BO,GU,MI,MO
1,19,7,violation,BO,MO,FA,ME,WE,FI,NO,GU,BA,PU,SU,NA
1,20,8,violation,ME,NA,BA,SU,WE,PU,FA,FI,MO,BO,MI,NO
1,21,9,violation,ME,PU,BO,NO,WE,SU,FI,NA,BA,FA,MI,GU
1,22,10,violation,BA,FI,MO,MI,WE,SU,BO,PU,ME,NA,GU,FA
1,23,11,violation,PU,MI,FI,NA,WE,BA,SU,FA,MO,ME,GU,NO
1,24,12,violation,NA,FA,BA,GU,WE,NO,MO,PU,SU,MI,ME,BO
