list,item_no,sub_no,function,element1,element2,element3,element4,element5,element6
1,1,1,NAD,ME,FU,BA,NA,LA,MO
1,2,2,NAD,GU,FU,NA,BO,LA,FI
1,3,3,NAD,NO,FU,FA,PU,LA,FI
1,4,4,NAD,GU,FU,PU,BA,LA,MI
1,5,5,NAD,BA,FU,PU,ME,LA,GU
1,6,6,NAD,SU,FU,GU,NO,LA,BO
1,7,7,NAD,PU,FU,NA,BA,LA,MI
1,8,8,NAD,NO,FU,FI,MI,LA,FA
1,9,9,NAD,MI,FU,MO,ME,LA,SU
1,10,10,NAD,FI,FU,NO,FA,LA,ME
1,11,11,NAD,MO,FU,SU,BO,LA,FA
1,12,12,NAD,BO,FU,SU,NA,LA,MO
1,13,1,violation,SU,FU,MI,BA,ME,FA
1,14,2,violation,ME,FU,SU,NA,PU,GU
1,15,3,violation,NA,FU,ME,BO,MI,SU
1,16,4,violation,MI,FU,NA,FA,NO,SU
1,17,5,violation,NO,FU,GU,SU,MO,BO
1,18,6,violation,BA,FU,PU,BO,ME,FI
1,19,7,violation,FI,FU,GU,MO,NO,FA
1,20,8,violation,MI,FU,NA,MO,BO,BA
1,21,9,violation,ME,FU,MO,NA,BA,MI
1,22,10,violation,FI,FU,MO,FA,PU,GU
1,23,11,violation,FA,FU,NO,FI,PU,BO
1,24,12,violation,FI,FU,NO,PU,GU,BA
